Channel,Frame Type,Frame Format,Frame ID,Direction,Length,Datas(Hex),Status,Time
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:09:10.014.300
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 14 D8 FF FF ,Success,00:09:10.014.400
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:09:21.255.600
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 14 D8 FF FF ,Success,00:09:21.255.800
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,2B 40 23 00 9C FF 00 00 ,Success,00:09:25.151.600
Device0,CH1,Standard Frame,Data Frame,0x020,Receive,4,10 12 0C 04 ,Success,00:09:25.151.700
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:09:25.151.900
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,60 40 23 00 00 00 00 00 ,Success,00:09:25.152.000
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 14 D8 FF FF ,Success,00:09:25.152.100
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:09:25.152.200
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:09:25.152.300
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:09:25.152.500
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 D3 FF 00 00 ,Success,00:09:25.152.600
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:09:36.395.000
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 AF 80 FE FF ,Success,00:09:36.395.200
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:09:36.395.400
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 B6 B8 FE FF ,Success,00:09:36.395.600
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:09:36.395.700
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9A FF FE FF ,Success,00:09:36.396.000
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:09:36.647.700
